RefDes,Block,Pin,Net,Notes
U1,ESP32_S3_DEVBOARD_2x19,GPIO4,STEP_J1,Stepper J1 step
U1,ESP32_S3_DEVBOARD_2x19,GPIO5,DIR_J1,Stepper J1 direction
U1,ESP32_S3_DEVBOARD_2x19,GPIO6,EN_ALL,Shared stepper enable
U1,ESP32_S3_DEVBOARD_2x19,GPIO7,PDN_J1,TMC2209 J1 UART
U1,ESP32_S3_DEVBOARD_2x19,GPIO8,STEP_J2,Stepper J2 step
U1,ESP32_S3_DEVBOARD_2x19,GPIO9,DIR_J2,Stepper J2 direction
U1,ESP32_S3_DEVBOARD_2x19,GPIO11,PDN_J2,TMC2209 J2 UART
U1,ESP32_S3_DEVBOARD_2x19,GPIO12,STEP_J3,Stepper J3 step
U1,ESP32_S3_DEVBOARD_2x19,GPIO13,DIR_J3,Stepper J3 direction
U1,ESP32_S3_DEVBOARD_2x19,GPIO15,PDN_J3,TMC2209 J3 UART
U1,ESP32_S3_DEVBOARD_2x19,GPIO16,STEP_J4,Stepper J4 step
U1,ESP32_S3_DEVBOARD_2x19,GPIO17,DIR_J4,Stepper J4 direction
U1,ESP32_S3_DEVBOARD_2x19,GPIO21,PDN_J4,TMC2209 J4 UART
U1,ESP32_S3_DEVBOARD_2x19,GPIO35,SERVO_WRIST_PITCH,Servo 1 PWM
U1,ESP32_S3_DEVBOARD_2x19,GPIO36,SERVO_WRIST_YAW,Servo 2 PWM
U1,ESP32_S3_DEVBOARD_2x19,GPIO37,SERVO_GRIPPER,Servo 3 PWM
U1,ESP32_S3_DEVBOARD_2x19,GPIO38,UART_LEADER_RX,From leader TX
U1,ESP32_S3_DEVBOARD_2x19,GPIO39,UART_LEADER_TX,To leader RX
U1,ESP32_S3_DEVBOARD_2x19,GPIO40,SD_SCK,MicroSD SPI clock
U1,ESP32_S3_DEVBOARD_2x19,GPIO41,SD_MISO,MicroSD SPI MISO
U1,ESP32_S3_DEVBOARD_2x19,GPIO42,SD_MOSI,MicroSD SPI MOSI
U1,ESP32_S3_DEVBOARD_2x19,GPIO2,SD_CS,MicroSD SPI chip select
U1,ESP32_S3_DEVBOARD_2x19,3V3,+3V3_LOGIC,Logic rail
U1,ESP32_S3_DEVBOARD_2x19,GND,GND,Common ground

U2,TMC2209_DEVBOARD_2x08,STEP,STEP_J1,
U2,TMC2209_DEVBOARD_2x08,DIR,DIR_J1,
U2,TMC2209_DEVBOARD_2x08,EN,EN_ALL,
U2,TMC2209_DEVBOARD_2x08,PDN_UART,PDN_J1,
U2,TMC2209_DEVBOARD_2x08,VIO,+3V3_LOGIC,
U2,TMC2209_DEVBOARD_2x08,VMOT,+24V_MOTOR,
U2,TMC2209_DEVBOARD_2x08,GND,GND,
U2,TMC2209_DEVBOARD_2x08,OA1,J1_MOTOR_PIN1,
U2,TMC2209_DEVBOARD_2x08,OA2,J1_MOTOR_PIN2,
U2,TMC2209_DEVBOARD_2x08,OB1,J1_MOTOR_PIN3,
U2,TMC2209_DEVBOARD_2x08,OB2,J1_MOTOR_PIN4,

U3,TMC2209_DEVBOARD_2x08,STEP,STEP_J2,
